disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_ratror,st_teff,st_rad,sy_gaiamag
candidate,1,1,41.688644,2.35545351,0.022586,5703.0,0.956122,10.8644
candidate,1,1,41.6855,2.23,0.02204,5766.0,0.928,10.8644
candidate,1,1,41.6855,2.57807,0.0305049999999999,5766.0,1.08,10.8644
candidate,1,0,2.30183,1.12,0.0144,4616.52,0.762602,11.3995
candidate,1,0,2.302368,1.31258765,0.016925,4720.0,0.710995,11.3995
candidate,1,0,1.1947488,4.19,0.06005,3919.0,0.57,17.8892
candidate,1,0,6.178369,9.91257877,0.115111,5015.0,0.789478,11.4806
candidate,1,0,6.17887,8.84,0.1058,4719.28,0.849432,11.4806
candidate,1,0,1.17589,0.86,0.0254,5292.0,0.309,12.6702
candidate,1,0,10.6966,1.45,0.0226,5292.0,0.588,13.9562
candidate,1,0,1.5374115,45.0,0.259,5292.0,1.599,12.0464
candidate,1,0,2.71189,4.34,0.0121,6402.0,3.16745,11.8357
candidate,1,2,18.10549,2.09985108,0.015719,6213.0,1.224685,10.7424
candidate,1,1,6.7987,1.047,0.034,3648.0,0.282,16.4386
candidate,1,0,79.9999,10.2,0.18,4542.0,0.508,13.9651
candidate,1,0,6.7713125000000005,30.0,0.39,5292.0,0.707,13.9651
candidate,1,0,17.77297,26.44,0.1892,5847.0,1.25428,13.0873
candidate,1,0,0.99656225,32.8,0.6256,3727.0,0.5,15.4518
candidate,1,0,14.912381,3.55,0.04445,4224.0,0.65,15.0437
candidate,1,0,14.9139,3.24,0.046,5292.0,0.647,15.0437
candidate,1,0,0.57303573,3.35,0.09028,3570.0,0.43,18.0887
candidate,1,1,28.1656,1.87,0.0458,5292.0,0.864,15.2612
candidate,1,1,28.1696,2.2,0.054,5292.0,0.374,15.2612
candidate,1,1,7.90417,2.06,0.0505,5292.0,0.374,15.2612
candidate,1,1,7.9069606,3.02,0.04848,3772.0,0.52,15.2612
candidate,1,0,1.0829614,1.56,0.02378,3875.0,0.56,15.1848
candidate,1,0,0.905655,1.57,0.025,5292.0,0.576,14.9247
candidate,1,0,0.90552205,1.52,0.02628,3710.0,0.5,14.9247
candidate,1,0,2.7541129,4.87,0.07842,3834.0,0.55,16.7664
candidate,1,0,2.75421,8.4,0.087,5292.0,0.89,16.7664
candidate,1,0,2.75391,3.78,0.079,3918.0,0.436,16.7664
non-candidate,1,0,50.285869,3.47,0.05345,4859.0,0.74,11.5044
