koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
candidate,0,0,0,0,9.48803557,170.53875,2455003.539,0.0,0.146,2.9575,615.8,0.0853,89.66,35.8,2,0.6864,5455.0,4.467,0.927,0.919,15.347
candidate,0,0,0,0,54.4183827,162.51384,2454995.514,0.0,0.586,4.507,874.8,0.2734,89.57,25.8,2,0.0023,5455.0,4.467,0.927,0.919,15.347
candidate,0,0,0,0,19.89913995,175.850252,2455008.85,0.0,0.969,1.7822,10829.0,0.1419,88.96,76.3,1,0.6624,5853.0,4.544,0.868,0.961,15.436
non-candidate,0,1,0,0,1.736952453,170.307565,2455003.308,0.0,1.276,2.40641,8079.2,0.0267,67.09,505.6,1,0.0,5805.0,4.564,0.791,0.836,15.597
candidate,0,0,0,0,2.525591777,171.59555,2455004.596,0.0,0.701,1.6545,603.3,0.0374,85.41,40.9,1,0.309,6031.0,4.438,1.046,1.095,15.509
candidate,0,0,0,0,11.09432054,171.20116,2455004.201,0.0,0.538,4.5945,1517.5,0.0992,88.11,66.5,3,0.0975,6046.0,4.486,0.972,1.053,15.714
candidate,0,0,0,0,4.13443512,172.97937,2455005.979,0.0,0.762,3.1402,686.0,0.0514,83.72,40.2,3,0.546,6046.0,4.486,0.972,1.053,15.714
candidate,0,0,0,0,2.56658897,179.55437,2455012.554,0.0,0.755,2.429,226.5,0.0374,82.17,15.0,3,0.4352,6046.0,4.486,0.972,1.053,15.714
non-candidate,0,1,1,0,7.36178958,132.25053,2454965.251,0.0,1.169,5.022,233.7,0.082,60.92,47.7,1,0.7213,6227.0,3.986,1.958,1.358,12.66
candidate,0,0,0,0,16.06864674,173.621937,2455006.622,0.0,0.052,3.5347,4914.3,0.1158,89.92,161.9,3,0.1819,5031.0,4.485,0.848,0.801,15.841
candidate,0,0,0,0,2.470613377,122.763305,2454955.763,0.0,0.818,1.74319,14231.0,0.0354,84.41,4304.3,1,0.1522,5820.0,4.457,0.964,0.971,11.338
candidate,0,1,0,0,2.204735417,121.3585417,2454954.359,0.0,0.224,3.88864,6674.7,0.0376,87.21,5945.9,1,0.0,6440.0,4.019,1.952,1.449,10.463
candidate,0,0,0,0,3.522498429,121.1194228,2454954.119,0.0,0.631,3.19843,9145.7,0.0473,85.2,1741.5,1,0.6662,6225.0,4.169,1.451,1.132,13.563
candidate,0,0,0,0,3.709214104,133.98318,2454966.983,0.0,0.051,2.6302,131.1,0.0465,89.73,50.6,2,0.605,5833.0,4.407,1.022,0.974,12.772
non-candidate,0,1,0,0,11.521446064,170.839688,2455003.84,0.0,2.483,3.6399,17984.0,0.0978,83.13,622.1,1,0.154,5795.0,4.554,0.848,0.938,15.472
non-candidate,0,1,0,0,19.40393776,172.484253,2455005.484,0.0,0.804,12.2155,8918.7,0.123,84.93,214.7,1,0.806,5043.0,4.591,0.68,0.657,15.487
non-candidate,0,1,0,0,19.221388942,184.5521637,2455017.552,0.0,1.065,4.79843,74284.0,0.1417,88.05,2317.0,2,0.0003,6117.0,4.496,0.947,1.025,15.341
non-candidate,0,1,0,0,16.46983774,180.881761,2455013.882,0.0,0.292,9.4378,10479.0,0.1147,88.81,303.4,1,0.0112,5152.0,4.517,0.786,0.741,15.788
candidate,0,0,0,0,9.27358173,173.258155,2455006.258,0.0,0.387,3.2875,1288.3,0.0759,88.93,87.2,1,0.0504,4856.0,4.583,0.696,0.676,15.302
candidate,0,0,0,0,6.02930329,171.602959,2455004.603,0.0,0.258,1.5821,1912.7,0.0585,89.5,65.4,1,1.0,4537.0,4.648,0.672,0.761,15.784
non-candidate,0,1,1,1,2.696370652,170.73769,2455003.738,0.0,0.044,3.6129,397.9,0.0349,89.56,48.2,1,0.0505,4989.0,4.504,0.819,0.781,15.269
candidate,0,0,0,0,5.349553819,171.80694,2455004.807,0.0,0.092,3.0278,831.0,0.0563,89.62,60.6,3,0.7722,5185.0,4.44,0.91,0.831,15.416
candidate,0,0,0,0,3.94105221,136.08662,2454969.087,0.0,0.226,2.5984,363.3,0.046,88.88,28.9,3,0.923,5185.0,4.44,0.91,0.831,15.416
candidate,0,0,0,0,8.10904807,132.8031,2454965.803,0.0,0.025,3.596,217.4,0.0743,89.92,14.1,3,0.7742,5185.0,4.44,0.91,0.831,15.416
non-candidate,0,1,0,0,386.6030528,166.342079,2454999.342,0.0,0.9765,6.8057,24927.0,1.0719,89.95,994.0,1,0.4866,5543.0,4.081,1.58,1.103,12.394
candidate,0,0,0,0,21.67699193,171.53594,2455004.536,0.0,0.896,3.4555,857.2,0.1408,87.91,34.3,4,0.6183,4954.0,4.5,0.828,0.791,15.377
candidate,0,0,0,0,4.99677968,171.74208,2455004.742,0.0,0.71,2.1717,934.7,0.0559,86.9,28.2,1,0.036,5339.0,4.552,0.847,0.931,15.861
candidate,0,0,0,0,4.280963604,171.89659,2455004.897,0.0,0.424,2.875,750.8,0.0503,87.72,61.8,1,0.4302,5644.0,4.564,0.831,0.928,15.356
non-candidate,0,0,1,0,1.50635409,170.998064,2455003.998,0.0,0.86,1.5155,2211.7,0.025,79.38,181.1,1,1.0,5714.0,4.563,0.831,0.926,15.525
non-candidate,0,1,1,0,670.645531,209.04355,2455042.044,0.0,0.701,53.412,18091.0,1.5155,89.53,642.7,1,0.0001,5520.0,4.466,0.983,1.03,15.207
non-candidate,0,1,0,0,61.2563628,173.83826,2455006.838,0.0,1.248,7.633,5123.3,0.3137,87.54,85.3,1,0.8513,6144.0,4.402,1.091,1.093,15.25
candidate,0,0,0,0,38.3775486,172.82048,2455005.82,0.0,0.468,5.588,724.2,0.2163,89.44,34.7,1,0.3889,5481.0,4.369,1.036,0.915,15.172
candidate,0,0,0,0,41.19725502,165.00404,2454998.004,0.0,0.045,4.6297,2213.9,0.217,89.96,51.2,3,0.1551,5031.0,4.485,0.848,0.801,15.841
candidate,0,0,0,0,6.252962249,171.30126,2455004.301,0.0,0.105,2.5819,1036.9,0.0617,89.68,47.1,3,0.7587,5031.0,4.485,0.848,0.801,15.841
candidate,0,0,0,0,16.01308419,176.3608,2455009.361,0.0,0.799,3.2554,1121.9,0.1148,88.14,33.2,1,0.8555,5015.0,4.499,0.826,0.785,15.39
candidate,0,0,0,0,32.62876672,194.1019,2455027.102,0.0,0.021,4.7971,1804.8,0.1889,89.98,80.0,2,0.6386,5586.0,4.56,0.798,0.844,15.082
candidate,0,0,0,0,91.7732862,193.8378,2455026.838,0.0,0.606,6.473,652.0,0.3764,89.61,19.1,2,0.7668,5586.0,4.56,0.798,0.844,15.082
candidate,0,0,0,0,4.959319244,172.2585292,2455005.259,0.0,0.831,2.22739,9802.0,0.0565,86.15,696.5,1,0.0517,5712.0,4.359,1.082,0.976,15.263
non-candidate,0,1,1,0,2.701287801,170.69579,2455003.696,0.0,1.016,3.3827,860.4,0.0365,62.69,48.3,1,0.3375,5550.0,4.468,0.91,0.889,15.54
candidate,0,0,0,0,4.49876511,171.34905,2455004.349,0.0,0.312,3.7362,460.0,0.0542,88.0,29.5,1,0.1694,6075.0,4.486,0.969,1.048,15.395
non-candidate,0,1,0,0,19.651209505,179.401981,2455012.402,0.0,0.723,5.2514,11766.0,0.1433,88.27,513.4,1,0.5224,6074.0,4.391,1.063,1.014,15.536
candidate,0,0,0,0,5.412203927,133.143089,2454966.143,0.0,0.787,2.9472,601.6,0.0591,85.12,166.7,3,0.2265,5779.0,4.339,1.087,0.941,12.791
candidate,0,0,0,0,41.43958662,208.93203,2455041.932,0.0,0.355,10.5989,2793.1,0.2288,89.31,141.1,1,0.4776,5468.0,4.367,1.046,0.93,15.4
candidate,0,0,0,0,8.35389523,171.63257,2455004.633,0.0,0.023,2.2514,1041.6,0.0768,89.95,43.4,1,0.5047,5592.0,4.582,0.787,0.862,15.317
candidate,0,0,0,0,4.125543472,169.752585,2455002.753,0.0,0.597,3.1744,1487.3,0.0529,85.95,128.6,1,0.6043,6174.0,4.417,1.103,1.162,15.506
candidate,0,0,0,0,2.816504904,170.9676846,2455003.968,0.0,0.105,2.50587,16814.0,0.0383,89.37,1406.8,1,0.7998,5532.0,4.452,0.955,0.941,15.052
non-candidate,0,1,1,0,33.93373447,186.67608,2455019.676,0.0,0.812,14.561,8503.7,0.1881,86.45,236.1,1,0.0299,5040.0,4.628,0.705,0.782,15.716
candidate,0,0,0,0,3.689920099,170.36571,2455003.366,0.0,0.151,2.6557,426.7,0.0469,89.19,35.6,1,0.4053,5880.0,4.518,0.917,1.01,15.242
candidate,0,0,0,0,4.431238488,171.015,2455004.015,0.0,0.405,3.15,1010.9,0.0529,87.72,71.1,3,0.52,5714.0,4.428,1.015,1.007,15.367
candidate,0,0,0,0,11.37936986,133.84992,2454966.85,0.0,0.911,2.6255,1023.5,0.0993,86.8,37.9,3,0.2364,5714.0,4.428,1.015,1.007,15.367
candidate,0,0,0,0,26.39432897,176.05459,2455009.055,0.0,0.602,3.573,1510.9,0.1635,89.28,48.2,1,0.2735,5129.0,4.595,0.763,0.846,15.234
candidate,0,0,0,0,13.57078281,136.279194,2454969.279,0.0,0.866,3.3539,511.7,0.1096,87.07,88.4,4,0.6645,5854.0,4.406,1.012,0.951,12.882
candidate,0,0,0,0,7.12594387,139.00492,2454972.005,0.0,0.898,3.0014,192.4,0.0711,84.02,47.1,3,0.7788,5779.0,4.339,1.087,0.941,12.791
non-candidate,0,1,0,0,7.442652004,169.9717797,2455002.972,0.0,0.137,2.3078,24446.0,0.0742,89.72,835.6,1,0.0786,6108.0,4.469,0.956,0.981,15.27
candidate,0,0,0,0,16.38489988,172.72782,2455005.728,0.0,0.001,3.0249,1127.1,0.1084,90.0,28.9,3,0.7202,4126.0,4.661,0.615,0.633,15.095
candidate,0,0,0,0,7.8774163,176.3759,2455009.376,0.0,0.041,2.0805,1306.1,0.0665,89.92,38.7,3,0.5008,4126.0,4.661,0.615,0.633,15.095
candidate,0,0,0,0,36.4454001,151.60125,2454984.601,0.0,0.028,4.007,1122.3,0.1847,89.98,21.7,3,0.6219,4126.0,4.661,0.615,0.633,15.095
candidate,0,0,0,0,3.728732147,171.793255,2455004.793,0.0,0.558,2.683,5226.5,0.0455,86.7,345.2,1,0.6769,5497.0,4.577,0.809,0.907,15.523
candidate,0,0,0,0,40.4195037,173.56469,2455006.565,0.0,0.911,3.362,6256.0,0.2062,89.05,36.9,1,0.8482,5446.0,4.507,0.781,0.714,15.487
candidate,0,0,0,0,2.243380573,170.679233,2455003.679,0.0,0.915,1.1196,821.7,0.028,82.88,38.9,1,0.5576,4149.0,4.698,0.564,0.578,15.135
non-candidate,0,1,0,0,10.405998015,177.197466,2455010.197,0.0,0.324,6.5036,14489.0,0.0855,88.57,745.2,1,0.8796,5746.0,4.393,0.924,0.77,15.562
candidate,0,0,0,0,2.337437946,171.761982,2455004.762,0.0,0.28,1.9982,971.2,0.0325,88.19,82.4,2,0.6818,5005.0,4.595,0.765,0.85,15.334
candidate,0,0,0,0,7.2406612,137.75545,2454970.755,0.0,1.198,0.558,556.4,0.0692,87.62,13.7,2,0.4049,5005.0,4.595,0.765,0.85,15.334
candidate,0,0,0,0,3.43591631,132.6624,2454965.662,0.0,0.624,3.133,23.2,0.0437,84.62,8.7,3,0.0228,5779.0,4.339,1.087,0.941,12.791
candidate,0,0,0,0,11.59822233,180.395376,2455013.395,0.0,0.679,2.5237,2804.5,0.0798,88.62,71.0,1,0.6552,3688.0,4.79,0.473,0.503,15.937
candidate,0,0,0,0,6.575315881,173.634044,2455006.634,0.0,0.39,4.3084,2793.3,0.067,88.03,221.1,1,0.5611,5992.0,4.415,0.989,0.927,15.312
candidate,0,0,0,0,7.275040844,169.994217,2455002.994,0.0,0.547,7.5377,3001.0,0.0732,85.29,312.1,1,0.1322,5485.0,4.556,0.867,0.986,15.08
candidate,0,0,0,0,19.27153892,186.77093,2455019.771,0.0,0.031,2.7594,1219.8,0.1171,89.97,37.1,2,0.8388,4077.0,4.702,0.56,0.576,15.385
candidate,0,0,0,0,10.06524317,136.28906,2454969.289,0.0,0.628,1.369,1053.3,0.076,89.22,30.3,2,0.0088,4077.0,4.702,0.56,0.576,15.385
candidate,0,0,0,0,12.3935651,178.74725,2455011.747,0.0,0.883,3.8896,916.6,0.0983,86.13,35.8,1,0.8571,5557.0,4.603,0.75,0.832,15.505
candidate,0,0,0,0,43.84439721,151.93538,2454984.935,0.0,0.852,6.802,615.2,0.2395,88.27,83.7,4,0.9647,5854.0,4.406,1.012,0.951,12.882
non-candidate,0,1,1,0,3.341913228,171.63943,2455004.639,0.0,1.213,3.813,725.3,0.0415,56.44,39.0,1,0.0,5295.0,4.551,0.811,0.853,15.629
non-candidate,0,0,1,0,1.626630225,169.820171,2455002.82,0.0,1.26,2.1145,1620.6,0.026,58.03,103.6,1,0.8796,5735.0,4.41,0.973,0.889,15.279
candidate,0,0,0,0,2.711504086,170.03417,2455003.034,0.0,0.023,3.0099,837.5,0.0401,89.81,64.5,2,0.228,6214.0,4.442,1.076,1.169,15.541
candidate,0,0,0,0,7.21203748,172.81782,2455005.818,0.0,0.012,4.0491,950.4,0.077,89.95,51.5,2,0.3431,6214.0,4.442,1.076,1.169,15.541
non-candidate,0,0,0,1,14.1798187,171.50237,2455004.502,0.0,0.1601,2.505,459.9,0.1137,89.95,11.2,1,0.4866,5799.0,4.539,0.878,0.975,15.727
candidate,0,0,0,0,8.47237911,174.16212,2455007.162,0.0,0.022,2.7245,1123.5,0.0778,89.95,47.6,2,0.9241,5354.0,4.587,0.788,0.884,15.339
candidate,0,0,0,0,60.4189369,181.16367,2455014.164,0.0,0.094,5.039,931.3,0.2884,89.94,20.1,2,0.6244,5354.0,4.587,0.788,0.884,15.339
candidate,0,0,0,0,12.611904345,180.892284,2455013.892,0.0,0.55,5.1497,6105.6,0.1058,88.17,277.2,1,0.0586,5795.0,4.508,0.919,0.992,15.14
non-candidate,0,1,0,0,1.433769925,170.403536,2455003.404,0.0,1.268,1.8868,1976.3,0.0256,58.99,112.6,1,0.0003,6017.0,4.22,1.339,1.083,15.122
non-candidate,0,1,1,0,10.31872301,173.31543,2455006.315,0.0,1.215,3.836,871.7,0.0944,78.15,38.2,1,0.9336,5927.0,4.409,1.06,1.05,15.065
candidate,0,0,0,0,2.539183147,169.67494,2455002.675,0.0,0.238,2.4282,382.1,0.0355,88.28,38.9,1,0.2119,5519.0,4.35,1.062,0.921,15.026
candidate,0,0,0,0,6.770300385,170.57662,2455003.577,0.0,0.838,2.0844,1304.0,0.064,86.84,50.8,1,0.9274,5653.0,4.656,0.679,0.767,15.591
