tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
non-candidate,2459229.630046,2.1713484,2.0172196,656.8860989,5.8181633,22601.9485814,3127.2040524,9.604,485.735,10249.0,4.19,2.16986
candidate,2459987.948873,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,9.42344,295.862,7070.0,4.03,2.01
non-candidate,2459224.687802,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,9.299501,943.109,8924.0,4.33,5.73
non-candidate,2458493.3957,2.74323,3.167,383.41,10.544,1177.36,1631.0,9.3003,7728.17,5388.5,4.15,1.23434
non-candidate,2459987.047262,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9.1355,356.437,9219.0,4.14,2.15
non-candidate,2459985.156855,4.5505945,2.654,3731.0,7.10841,414.775,1257.0,9.1309,100.711,5613.0,4.33,1.09
non-candidate,2459229.984579,2.5047918,4.3797563,2270.5402194,8.6950898,1750.932635,1649.8220699,9.2386,365.008,6616.0,4.33,1.53429
candidate,2459247.930695,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,8.87759,283.291,6596.0,3.71,2.7
non-candidate,2460258.236122,2.0483755,2.767,483.0,3.19621,5644.4,1183.01373235,8.9362,144.297,6858.5,4.2,1.57
candidate,2459229.230924,1.9600277,2.0065257,1707.6272693,10.544,1063.3422958,1456.4246534,8.4331,866.147,8868.7,4.33,1.23434
candidate,2458326.009117,1.4303699,1.6165994,18960.7122944,13.1874503,1281.2408254,1525.9048089,12.4069,375.31,5600.0,4.48851,0.890774
non-candidate,2459228.878101,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.45086,485.122,9438.0,4.33,1.0
candidate,2459984.627768,2.4704981,2.191,250.0,1.44656,575.597,1364.0,8.2388,52.62,5413.7,4.46,0.94
candidate,2459252.509595,0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,295.959,8928.0,3.92,2.72
non-candidate,2459232.248322,5.4255548,3.9637474,14939.6342222,10.544,273.5880696,1037.2753045,7.6095,510.295,8868.7,4.33,1.23434
non-candidate,2459985.657041,1.4095184,0.9484999,2841.5103258,10.544,1650.422071,1625.6180218,7.678,224.672,9307.0,4.33,1.23434
non-candidate,2459963.610065,1.3730466,2.5708515,1301.5065338,42.1479417,3160.6328329,1912.3318636,10.7069,906.496,4897.0,4.33,6.7996101
non-candidate,2459238.831138,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257,368.646,7601.0,4.31,1.53641
non-candidate,2458518.96536,1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,406.997,6995.2,4.07,1.61
non-candidate,2458492.78078,4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,360.541,5889.0,3.86,2.0
candidate,2459232.446864,5.2341008,3.7078139,20796.9416293,24.2931408,1453.6663847,1574.8381848,10.6348,399.544,7645.0,4.3,1.56203
candidate,2460187.916571,4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,175.631,6280.0,4.32092,1.21
non-candidate,2458521.29108,3.28892,3.793,10518.9,10.544,29832.6,3661.0,10.7173,906.827,8734.2,4.1,1.23434
non-candidate,2458492.90429,1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,235.974,6022.6,4.52,1.22
non-candidate,2458547.448,3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,120.666,6084.0,4.13,1.41
non-candidate,2459303.303969,1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,316.398,5050.8,3.56,2.99
non-candidate,2458339.72276,18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,692.266,4709.0,4.33,7.61
candidate,2458545.149804,9.6837921,2.4006056,4238.2399008,10.544,3176.3106916,1914.698926,5.5324,129.838,8598.7,4.33,1.23434
non-candidate,2460720.807674,14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,105.677,5690.0,4.58,0.853898
candidate,2460037.86905,3.2834565,1.537,1558.0,2.87648,161.092,992.0,10.2103,56.3449,4272.0,4.6,0.68
candidate,2460032.53325,11.02875,2.715,1694.0,2.76586,15.0463,548.0,10.2103,56.3449,4272.0,4.6,0.68
candidate,2460032.57304,5.0113292,1.024,1210.0,2.52314,17.1793,567.0,10.2103,56.3449,4272.0,4.6,0.68
non-candidate,2458544.48066,1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,23.7748,4634.0,4.64,0.68
non-candidate,2458365.89313,36.22214,5.107,7170.0,10.544,363.901,1183.01373235,6.841,365.008,5800.55,4.33,1.23434
candidate,2458327.25256,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,411.211,6351.0,4.22896,1.4
non-candidate,2460054.783937,12.1246519,4.612,7279.0,17.6729,207.32,1057.0,9.5706,78.41273,4807.6,4.17,1.07
non-candidate,2459304.837939,5.652623,3.434,1250.0,8.94354,2717.06,2011.0,9.7318,270.771,6415.4,3.98,1.92
candidate,2459283.828685,5.6643704,3.8087395,3491.8232968,14.7738943,7657.6621505,2385.8536488,9.7611,587.196,10395.0,4.13,2.3383701
non-candidate,2460195.100648,29.0160175,5.345,1389.0,6.77406,33.2234,1183.01373235,10.0163,219.94,6113.1,4.33,2.01
non-candidate,2460768.617427,3.6404389,2.5339234,476.3077321,3.7025342,9941.2265514,2783.098027,9.8174,363.44,9810.0,4.43,1.60776
candidate,2459286.872605,6.0744477,2.4954821,5982.5212406,30.9493217,1487.5644344,1583.9398898,10.1126,347.556,5964.0,3.7,2.4303801
candidate,2460037.172273,3.7795212,2.952,2761.0,5.98375,466.528,1294.0,10.2855,184.015,5771.0,4.31,1.18
non-candidate,2459331.124512,1.2025238,1.991,390.0,6.31106,208477.0,5952.0,9.0211,279.698,9158.0,4.32,1.74
non-candidate,2459273.371643,3.2235985,2.159,680.0,5.51341,2064.8,1183.01373235,8.7157,280.765,8904.0,4.09,2.17
candidate,2460031.2166,4.420125,3.956,2466.0,10.544,363.901,1183.01373235,8.5483,2864.34,5800.55,4.33,1.23434
candidate,2460150.608677,4.0872956,5.586113,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638,316.678,6036.0,3.93359,2.2186699
non-candidate,2458520.65674,2.55555,1.566,340.0,11.5901,3520.68,2145.0,8.3854,732.432,10037.0,4.33,6.04
non-candidate,2459261.801216,8.30792,3.228,8350.0,43.1068,2276.25,1924.0,8.0981,305.034,9081.0,3.83,3.05
candidate,2459281.337956,0.758082,1.8184632,583.93181,10.1273702,216218.1005011,5499.7476332,9.718,792.633,9917.0,3.75,3.5086601
non-candidate,2459985.770425,1.4415577,2.349,507.0,3.61078,16861.8,3174.0,9.5719,208.055,6902.0,4.25,1.52
candidate,2460037.194672,1.0085089,1.642,3051.0,10.544,363.901,1183.01373235,10.0031,494.689,5215.2,4.33,1.23434
non-candidate,2459301.544126,3.7039994,4.277,7590.0,17.57,3546.13,2149.0,9.6306,300.696,7013.8,4.21,1.9
non-candidate,2460177.867195,1.3042553,1.706,914.0,9.36472,26944.7,3569.0,10.0119,301.298,6762.0,4.11,1.75
non-candidate,2458544.79061,0.62627,0.666,1880.0,5.72162,3235.57,2101.0,10.2355,134.926,5622.0,4.5,0.93
non-candidate,2458518.376,0.30412,0.748,1330.0,10.417,280833.0,6413.0,8.802,440.426,11892.0,4.14,2.52
candidate,2459363.821393,2.1805277,2.969175,16340.1353205,16.808853,1770.4650539,1654.404068,11.0657,314.995,6599.0,4.21017,1.2714601
candidate,2459084.58501,2.1846669,2.86528,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995,137.544,5630.0,4.37759,1.23824
candidate,2459355.54563,3.7354838,4.142,17030.0,21.2315,1292.19,1670.0,11.0261,405.908,6650.0,4.1639,1.57
non-candidate,2458657.736625,21.701669,8.2676424,211.6567325,2.3751494,52.095,685.2,7.1278,53.19149,5625.0,4.438,1.56486
candidate,2458332.941229,9.139804,3.0912936,358.4157801,3.0629855,243.011763,1006.9932829,9.0197,129.804,5958.2,4.34,1.58
non-candidate,2458657.999179,5.742625,2.860293,1105.760867,13.088532,363.901,1183.01373235,8.8849,263.729,5664.0,3.26574,3.86959
candidate,2460122.700139,15.5077855,4.565,513.0,2.43432,88.0718,853.0,8.4362,88.4343,6122.0,4.30881,1.17
candidate,2458661.062711,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,8.0888,57.2651,5783.54,4.49925,0.974669
candidate,2458326.062424,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,9.6663,168.354,6124.3,4.38,1.36963
candidate,2458607.350901,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,9.4091,98.2855,5599.0,4.46138,0.943356
candidate,2458663.023129,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,9.3781,338.831,5785.0,4.344,3.4475601
candidate,2460106.337519,9.4496506,2.021,19750.0,17.0216,38.5799,694.0,9.7825,98.8783,5509.0,4.39758,0.94
candidate,2460201.638583,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,10.3157,364.411,6900.0,4.438,1.77
candidate,2460149.536226,2.0685633,0.373,502.0,3.89739,24.409,619.0,9.6652,128.491,5687.9,4.6,1.14
non-candidate,2458654.253249,0.540933,1.674337,257.347459,2.28501,363.901,1183.01373235,9.7345,133.171,5525.0,4.25342,1.21935
candidate,2460177.200429,4.1150576,1.08,487.0,2.30057,77.3573,826.0,9.478,82.1733,5394.0,4.50942,0.89
candidate,2458629.391681,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689,61.1201,5552.0,4.61783,0.791742
candidate,2458656.668478,6.4438657,1.9309449,1121.9512275,2.460344,60.831305,712.2812841,10.0059,68.0726,4803.0,4.52079,0.737189
candidate,2458664.490132,12.2265595,2.1904379,1206.3693293,2.6014766,25.8970378,575.3502049,10.0059,68.0726,4803.0,4.52079,0.737189
candidate,2458654.347994,2.160344,1.828854,19357.992992,22.503541,363.901,1183.01373235,13.2851,639.004,5780.0,4.32928,1.2
candidate,2458657.832537,4.606184,3.121643,13793.034867,12.962219,363.901,1183.01373235,11.9707,353.891,5670.0,4.3925,1.07
candidate,2458656.987874,3.1316735,2.4579197,14915.6943722,9.4995191,148.6544991,890.5622134,13.1686,263.609,4351.0,4.438,0.76701
candidate,2458656.633231,3.180362,2.111521,21192.463324,13.446487,363.901,1183.01373235,13.2887,535.383,5498.0,4.47934,0.92
candidate,2460147.378764,2.9776446,2.962,13022.0,14.4339,758.324,1461.0,10.4293,197.996,5703.0,4.25824,1.22
candidate,2460176.993334,3.9502008,4.444,13914.0,20.5357,1009.38,1570.0,9.6433,211.211,6153.0,4.18077,1.71
non-candidate,2458655.579241,2.9776152,3.25697,43218.111683,26.88423,873.27,1386.5,15.7114,365.008,5740.0,4.29219,1.28
candidate,2458655.394059,3.5544026,2.0550535,10164.8753396,13.200677,515.0014435,1214.9876435,11.5803,290.198,5639.0,4.37172,1.11499
non-candidate,2459211.732146,12.8379689,9.8464123,10539.0192794,25.4886382,374.129,1225.0,11.7106,703.878,5765.0,4.34773,2.4494
candidate,2459036.472812,3.9228016,1.8736007,31510.9004906,13.3368705,91.167589,788.0973496,13.6699,300.67,4444.0,4.438,0.6983
candidate,2458662.652685,13.9428705,3.7522756,1015.395543,2.4233421,28.0927293,587.1759148,10.6339,107.356,5206.0,4.63095,0.741671
candidate,2458654.249503,0.6047392,1.0403847,1027.6833479,1.8625587,528.0253155,1222.5973095,11.1186,61.4592,4046.0,4.60963,0.580337
candidate,2458654.163257,2.5495611,2.6173308,14921.4021936,12.9171288,757.1284067,1337.8645148,11.2474,248.46,5659.0,4.44653,1.03997
candidate,2458654.102739,1.6062693,1.9561305,16725.3019333,12.6436029,844.2700581,1374.8018137,13.461,463.683,5192.0,4.4617,0.984326
