koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
CONFIRMED,10797460,K00752.01,CANDIDATE,1.0,0,0,0,0,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,15.347,291.93423,48.141651,170.53875,1.0,1,0,2.2500315911943796,0.8153648132841944,6.675823221634848
CONFIRMED,10797460,K00752.02,CANDIDATE,0.969,0,0,0,0,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,15.347,291.93423,48.141651,162.51384,2.0,1,0,3.9967020140601237,1.0402767116551463,6.093569770045136
CANDIDATE,10811496,K00753.01,CANDIDATE,0.0,0,0,0,0,19.89913995,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,15.436,297.00482,48.134129,175.850252,1.0,0,0,2.9906765122035317,2.681021528714291,6.45833828334479
FALSE POSITIVE,10848459,K00754.01,FALSE POSITIVE,0.0,0,1,0,0,1.736952453,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,15.597,285.53461,48.28521,170.307565,1.0,0,1,0.5521321138273241,3.510350695558678,7.240649694255466
CONFIRMED,10854555,K00755.01,CANDIDATE,1.0,0,0,0,0,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,15.509,288.75488,48.2262,171.59555,1.0,1,0,0.9264754023963507,1.0116009116784799,7.2485040723706105
CONFIRMED,10872983,K00756.01,CANDIDATE,1.0,0,0,0,0,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,15.714,296.28613,48.22467,171.20116,1.0,1,0,2.406433314311012,1.3609765531356006,6.727431724850855
CONFIRMED,10872983,K00756.02,CANDIDATE,1.0,0,0,0,0,4.13443512,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,15.714,296.28613,48.22467,172.97937,2.0,1,0,1.4193507097120555,1.0188473201992472,7.05617528410041
CONFIRMED,10872983,K00756.03,CANDIDATE,0.992,0,0,0,0,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,15.714,296.28613,48.22467,179.55437,3.0,1,0,0.9425777683047681,0.4637340162321402,7.215239978730097
FALSE POSITIVE,6721123,K00114.01,FALSE POSITIVE,0.0,0,1,1,0,7.36178958,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,12.66,298.86435,42.151569,132.25053,1.0,0,1,1.9963030526412684,3.6689318163042404,7.201916317531627
CONFIRMED,10910878,K00757.01,CANDIDATE,1.0,0,0,0,0,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,15.841,286.99948,48.37579,173.621937,1.0,1,0,2.776869965873725,1.7509374747078,6.396929655216146
CONFIRMED,11446443,K00001.01,CANDIDATE,0.811,0,0,0,0,2.470613377,0.818,1.74319,14231.0,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.964,11.338,286.80847,49.316399,122.763305,1.0,1,0,0.9044664505801349,2.5680215564985067,7.199678345691172
CONFIRMED,10666592,K00002.01,CANDIDATE,1.0,0,1,0,0,2.204735417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,10.463,292.24728,47.969521,121.3585417,1.0,1,1,0.7906075094089092,2.7788192719904172,7.6246189861593985
CONFIRMED,6922244,K00010.01,CANDIDATE,0.998,0,0,0,0,3.522498429,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.451,13.563,281.28812,42.45108,121.1194228,1.0,1,0,1.2591705188005349,2.6803363625346943,7.327123292259293
CONFIRMED,10984090,K00112.02,CANDIDATE,1.0,0,0,0,0,3.709214104,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,12.772,295.64871,48.49556,133.98318,2.0,1,0,1.310820022373888,0.14842000511827322,7.095064377287131
FALSE POSITIVE,10419211,K00742.01,FALSE POSITIVE,0.0,0,1,0,0,11.521446064,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,5795.0,4.554,0.848,15.472,297.07993,47.597401,170.839688,1.0,0,1,2.444210173778856,5.014029527164271,6.6240652277998935
FALSE POSITIVE,10464078,K00743.01,FALSE POSITIVE,0.0,0,1,0,0,19.40393776,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,5043.0,4.591,0.68,15.487,289.25821,47.635319,172.484253,1.0,0,1,2.965476022791761,1.9712993830601329,6.259581464064923
FALSE POSITIVE,10480982,K00744.01,FALSE POSITIVE,0.0,0,1,0,0,19.221388942,1.065,4.79843,74284.0,49.29,698.0,55.97,2317.0,6117.0,4.496,0.947,15.341,295.81454,47.69035,184.5521637,1.0,0,1,2.956023666383778,3.8977212207172864,6.548219102762372
FALSE POSITIVE,10485250,K00745.01,FALSE POSITIVE,0.0,0,1,0,0,16.46983774,0.292,9.4378,10479.0,7.94,595.0,29.61,303.4,5152.0,4.517,0.786,15.788,297.15442,47.668701,180.881761,1.0,0,1,2.8015306922891674,2.0719132752590443,6.38856140554563
CONFIRMED,10526549,K00746.01,CANDIDATE,1.0,0,0,0,0,9.27358173,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,4856.0,4.583,0.696,15.302,288.13824,47.724449,173.258155,1.0,1,0,2.227169683593535,0.9042181506398859,6.47543271670409
CONFIRMED,10583066,K00747.01,CANDIDATE,1.0,0,0,0,0,6.02930329,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,15.784,283.71088,47.86327,171.602959,1.0,1,0,1.7966314634335787,1.0473189942805592,6.519147287940395
FALSE POSITIVE,10583180,K00748.01,FALSE POSITIVE,0.0,0,1,1,1,2.696370652,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.819,15.269,283.76547,47.804298,170.73769,1.0,0,1,0.9919066657960953,0.4574248470388755,6.97166860472579
CONFIRMED,10601284,K00749.01,CANDIDATE,1.0,0,0,0,0,5.349553819,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,15.416,292.37613,47.880989,171.80694,1.0,1,0,1.677013159112325,0.9360933591703348,6.823286122355687
CONFIRMED,10601284,K00749.02,CANDIDATE,0.98,0,0,0,0,3.94105221,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,5185.0,4.44,0.91,15.416,292.37613,47.880989,136.08662,2.0,1,0,1.3714477460317367,0.5306282510621704,6.925595197110468
CONFIRMED,10601284,K00749.03,CANDIDATE,0.971,0,0,0,0,8.10904807,0.025,3.596,217.4,1.3,800.0,97.03,14.1,5185.0,4.44,0.91,15.416,292.37613,47.880989,132.8031,3.0,1,0,2.0929804839261053,0.26236426446749106,6.684611727667927
FALSE POSITIVE,2306756,K00113.01,FALSE POSITIVE,0.0,0,1,0,0,386.6030528,0.9765,6.8057,24927.0,41.5,297.0,1.84,994.0,5543.0,4.081,1.58,12.394,292.27374,37.671558,166.342079,1.0,0,1,5.957398463276938,3.7256934272366524,5.6937321388027
CONFIRMED,10662202,K00750.01,CANDIDATE,1.0,0,0,0,0,21.67699193,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4954.0,4.5,0.828,15.377,290.46512,47.92918,171.53594,1.0,1,0,3.0762514183287295,1.0818051703517284,6.272877006546167
CONFIRMED,10682541,K00751.01,CANDIDATE,1.0,0,0,0,0,4.99677968,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,5339.0,4.552,0.847,15.861,297.80826,47.946671,171.74208,1.0,1,0,1.6087936409357828,1.0224509277025455,6.821107472256465
CONFIRMED,11460018,K00769.01,CANDIDATE,1.0,0,0,0,0,4.280963604,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,5644.0,4.564,0.831,15.356,294.26581,49.314091,171.89659,1.0,1,0,1.454178125374742,0.8329091229351039,6.919683849847411
FALSE POSITIVE,11463211,K00770.01,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.1,5714.0,4.563,0.831,15.525,295.66522,49.351009,170.998064,1.0,0,1,0.40969222126335125,1.5107219394949427,7.280697195384741
FALSE POSITIVE,11465813,K00771.01,FALSE POSITIVE,0.0,0,1,1,0,670.645531,0.701,53.412,18091.0,14.14,196.0,0.35,642.7,5520.0,4.466,0.983,15.207,296.69861,49.316479,209.04355,1.0,0,1,6.508240727641412,2.6490076604684267,5.278114659230517
FALSE POSITIVE,11493732,K00772.01,FALSE POSITIVE,0.0,0,1,0,0,61.2563628,1.248,7.633,5123.3,39.87,505.0,15.43,85.3,6144.0,4.402,1.091,15.25,283.72592,49.479519,173.83826,1.0,0,1,4.115067726478408,3.6856241613932634,6.22455842927536
CONFIRMED,11507101,K00773.01,CANDIDATE,1.0,0,0,0,0,38.3775486,0.468,5.588,724.2,2.82,529.0,18.53,34.7,5481.0,4.369,1.036,15.172,291.72202,49.480869,172.82048,1.0,1,0,3.6474726167314295,1.0367368849500223,6.270988431858299
